id,sentiment
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,0
281,0
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,0
320,1
321,0
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,0
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,0
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,1
351,1
352,0
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,1
419,1
420,0
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,0
452,1
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,1
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,1
